Statistical profiling result from clg_off-v8.log, (25285 ticks, 31 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      7    0.0%    0.1%  LazyCompile: *createNewLookupObject /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/internal/create-new-lookup-object.js:15:31
      7    0.0%    0.1%  LazyCompile: *compression /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/compression/index.js:59:31
      7    0.0%    0.1%  LazyCompile: *authenticate /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/passport/lib/middleware/authenticate.js:94:31
      7    0.0%    0.1%  LazyCompile: *_flushOutput node:_http_outgoing:1030:63
      7    0.0%    0.1%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:640:37
      7    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/runtime.js:360:47
      7    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/helpers/if.js:15:42
      6    0.0%    0.1%  LazyCompile: *stringifyFnReplacer /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/safe-stable-stringify/index.js:230:32
      6    0.0%    0.1%  LazyCompile: *setWriteHeadHeaders /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/on-headers/index.js:105:30
      6    0.0%    0.1%  LazyCompile: *setHeader node:_http_outgoing:601:57
      6    0.0%    0.1%  LazyCompile: *onwrite node:internal/streams/writable:427:17
      6    0.0%    0.1%  LazyCompile: *ondata /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/readable-stream/lib/_stream_readable.js:679:18
      6    0.0%    0.1%  LazyCompile: *normalizeParseOptions /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/qs/lib/parse.js:204:59
      6    0.0%    0.1%  LazyCompile: *insert node:internal/timers:350:16
      6    0.0%    0.1%  LazyCompile: *etag /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/etag/index.js:70:15
      6    0.0%    0.1%  LazyCompile: *doWrite node:internal/streams/writable:400:17
      6    0.0%    0.1%  LazyCompile: *_writeRaw node:_http_outgoing:354:19
      6    0.0%    0.1%  LazyCompile: *_unrefTimer node:net:441:52
      6    0.0%    0.1%  LazyCompile: *_transform /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/winston/lib/winston/logger.js:275:13
      6    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/socket.io/dist/index.js:290:27
      6    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/logform/json.js:26:25
      6    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/request.js:467:36
      5    0.0%    0.1%  RegExp: ^\s*([^\s;]+)\s*(?:;(.*))?$
      5    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      5    0.0%    0.1%  LazyCompile: *socketListenerWrap node:_http_server:1030:37
      5    0.0%    0.1%  LazyCompile: *removeListener node:events:675:28
      5    0.0%    0.1%  LazyCompile: *realpathSync node:fs:2460:22
      5    0.0%    0.1%  LazyCompile: *onParserExecuteCommon node:_http_server:719:31
      5    0.0%    0.1%  LazyCompile: *get node:internal/streams/duplex:97:8
      5    0.0%    0.1%  LazyCompile: *fromString node:buffer:437:20
      5    0.0%    0.1%  LazyCompile: *extname node:path:1385:10
      5    0.0%    0.1%  LazyCompile: *debug /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/debug/src/debug.js:65:17
