Statistical profiling result from clg_on-v8.log, (42222 ticks, 50 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      8    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/engine.io/build/server.js:479:30
      7    0.0%    0.1%  RegExp: [\u0000-\u001f\u0022\u005c\ud800-\udfff]|[\ud800-\udbff](?![\udc00-\udfff])|(?:[^\ud800-\udbff]|^)[\udc00-\udfff]
      7    0.0%    0.1%  LazyCompile: *writeGeneric node:internal/stream_base_commons:147:22
      7    0.0%    0.1%  LazyCompile: *vary /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/vary/index.js:133:15
      7    0.0%    0.1%  LazyCompile: *store.generate /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/index.js:158:28
      7    0.0%    0.1%  LazyCompile: *getDefaultTriggerAsyncId node:internal/async_hooks:432:34
      7    0.0%    0.1%  LazyCompile: *expressInit /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/middleware/init.js:29:30
      7    0.0%    0.1%  LazyCompile: *createProtoAccessControl /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/internal/proto-access.js:19:34
      7    0.0%    0.1%  LazyCompile: *_writeRaw node:_http_outgoing:354:19
      7    0.0%    0.1%  LazyCompile: *Readable node:internal/streams/readable:181:18
      7    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/socket.io/dist/index.js:290:27
      7    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/helpers/if.js:15:42
      7    0.0%    0.1%  Function: ^parse /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/content-type/index.js:106:16
      6    0.0%    0.1%  RegExp: ^\s*([^\s;]+)\s*(?:;(.*))?$
      6    0.0%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      6    0.0%    0.1%  RegExp: [\x00-\x1f\x27\x5c\x7f-\x9f]|[\ud800-\udbff](?![\udc00-\udfff])|(?<![\ud800-\udbff])[\udc00-\udfff]
      6    0.0%    0.1%  LazyCompile: *writevGeneric node:internal/stream_base_commons:122:23
      6    0.0%    0.1%  LazyCompile: *write_ node:_http_outgoing:790:16
      6    0.0%    0.1%  LazyCompile: *matchKnownFields node:_http_incoming:276:26
      6    0.0%    0.1%  LazyCompile: *getEncodingOps node:buffer:684:24
      6    0.0%    0.1%  LazyCompile: *get node:internal/bootstrap/pre_execution:413:8
      6    0.0%    0.1%  LazyCompile: *app /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/express.js:38:21
